long,lat,year,nat,id,trp,group.regroup
-23.05910439,23.70899176,1791,British,25,3429,25.1
-23.35563508,23.21977187,1791,British,25,3429,25.1
-23.65,22.73,1791,British,25,3429,25.1
-23.65,22.73,1791,British,26,3429,26.1
-23.87792459,22.3607688,1791,British,26,3429,26.1
-24.1046434,21.99122029,1791,British,26,3429,26.1
-24.33018367,21.6213619,1791,British,26,3429,26.1
-24.55457228,21.25120095,1791,British,26,3429,26.1
-24.77783569,20.88074462,1791,British,26,3429,26.1
-25,20.51,1791,British,26,3429,26.1
-25,20.51,1791,British,27,3429,27.1
-25.10265869,20.2001444,1791,British,27,3429,27.1
-25.20490961,19.89022943,1791,British,27,3429,27.1
-25.30676106,19.58025631,1791,British,27,3429,27.1
-25.40822124,19.27022625,1791,British,27,3429,27.1
-25.50929822,18.96014042,1791,British,27,3429,27.1
-25.61,18.65,1791,British,27,3429,27.1
-25.61,18.65,1791,British,28,3429,28.1
-25.55107368,18.28837679,1791,British,28,3429,28.1
-25.49239268,17.92673561,1791,British,28,3429,28.1
-25.43395085,17.56507689,1791,British,28,3429,28.1
-25.37574211,17.20340109,1791,British,28,3429,28.1
-25.31776046,16.84170865,1791,British,28,3429,28.1
-25.26,16.48,1791,British,28,3429,28.1
-25.26,16.48,1791,British,29,3429,29.1
-25.20966491,16.21002876,1791,British,29,3429,29.1
-25.15946753,15.9400457,1791,British,29,3429,29.1
-25.10940509,15.67005106,1791,British,29,3429,29.1
-25.05947484,15.40004507,1791,British,29,3429,29.1
-25.00967404,15.13002798,1791,British,29,3429,29.1
-24.96,14.86,1791,British,29,3429,29.1
-11.05,47.43,1791,British,3,3429,3.1
-11.01211019,47.07169646,1791,British,3,3429,3.1
-10.97472646,46.7133806,1791,British,3,3429,3.1
-10.93783589,46.35505272,1791,British,3,3429,3.1
-10.90142597,45.99671313,1791,British,3,3429,3.1
-10.86548458,45.63836213,1791,British,3,3429,3.1
-10.83,45.28,1791,British,3,3429,3.1
-24.96,14.86,1791,British,30,3429,30.1
-24.76541476,14.56705525,1791,British,30,3429,30.1
-24.57134606,14.27395006,1791,British,30,3429,30.1
-24.377782,13.98068821,1791,British,30,3429,30.1
-24.18471076,13.68727345,1791,British,30,3429,30.1
-23.99212064,13.39370949,1791,British,30,3429,30.1
-23.8,13.1,1791,British,30,3429,30.1
-23.8,13.1,1791,British,31,3429,31.1
-23.47787871,12.7525991,1791,British,31,3429,31.1
-23.15664079,12.40480938,1791,British,31,3429,31.1
-22.83625998,12.05664279,1791,British,31,3429,31.1
-22.51671019,11.70811121,1791,British,31,3429,31.1
-22.19796546,11.35922639,1791,British,31,3429,31.1
-21.88,11.01,1791,British,31,3429,31.1
-21.88,11.01,1791,British,32,3429,32.1
